,BH,ref,ouverture,cloture
2019-03-11,,"12,430","12,060","12,430"
2019-03-12,,"12,430","12,420","12,400"
2019-03-13,,"12,400","12,300","12,100"
2019-03-14,,"12,100","12,000","12,190"
2019-03-15,,"12,190","12,380","12,500"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"12,500","12,500","12,140"
2019-03-19,,"12,140","12,200","12,500"
2019-03-20,,,,
2019-03-21,,"12,500","12,300","12,300"
2019-03-22,,"12,300","12,200","12,420"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"12,420","12,620","12,160"
2019-03-26,,"12,160","12,440","12,430"
2019-03-27,,"12,430","12,420","12,410"
2019-03-28,,,,
2019-03-29,,"12,050","12,050","12,390"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"12,390","12,220","12,600"
2019-04-02,,"12,600","12,230","12,230"
2019-04-03,,"12,230","12,510","12,960"
2019-04-04,,"12,960","13,000","12,800"
2019-04-05,,"12,800","12,750","12,800"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"12,800","12,790","12,940"
2019-04-09,,,,
2019-04-10,,"12,940","12,900","12,930"
2019-04-11,,"12,930","12,920","12,900"
2019-04-12,,"12,900","12,900","12,750"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"12,750","12,890","12,700"
2019-04-16,,"12,700","12,880","12,870"
2019-04-17,,"12,870","12,650","12,500"
2019-04-18,,"12,500","12,790","12,800"
2019-04-19,,"12,800","12,890","13,180"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"13,180","13,200","13,790"
2019-04-23,,"13,790","14,410","14,610"
2019-04-24,,"14,610","15,260","14,900"
2019-04-25,,"14,900","14,850","14,800"
2019-04-26,,"14,800","14,800","14,370"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"14,370","14,400","14,600"
2019-04-30,,"14,600","14,360","14,350"
2019-05-01,,,,
2019-05-02,,"14,350","14,160","13,920"
2019-05-03,,"13,920","14,000","13,980"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"13,980","13,570","13,900"
2019-05-07,,"13,900","13,600","13,310"
2019-05-08,,"13,310","13,330","13,340"
2019-05-09,,"13,340","13,290","13,300"
2019-05-10,,"13,300","13,680","13,300"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"13,300","13,650","13,650"
2019-05-14,,"13,650","13,300","13,200"
2019-05-15,,"12,600","12,300","12,960"
2019-05-16,,"12,960","12,970","12,970"
2019-05-17,,"12,970","12,960","12,940"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"12,940","12,900","12,900"
2019-05-21,,"12,900","12,520","12,520"
2019-05-22,,"12,520","12,520","12,520"
2019-05-23,,"12,520","12,450","12,520"
2019-05-24,,"12,520","12,830","12,520"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"12,520","12,300","12,500"
2019-05-28,,"12,500","12,770","12,770"
2019-05-29,,"12,770","12,500","12,500"
2019-05-30,,"12,500","12,520","12,500"
2019-05-31,,"12,500","12,480","12,480"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"12,480","12,470","12,300"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"12,300","12,200","12,200"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"12,200","12,090","12,000"
2019-06-11,,,,
2019-06-12,,"12,350","12,030","12,300"
2019-06-13,,"12,300","12,380","12,280"
2019-06-14,,"12,280","12,200","12,100"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"12,100","12,050","12,100"
2019-06-18,,"12,100","12,100","12,100"
2019-06-19,,"12,100","12,100","12,300"
2019-06-20,,"12,300","12,450","12,400"
2019-06-21,,"12,400","12,400","12,300"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"12,300","12,300","12,140"
2019-06-25,,"12,140","12,150","12,140"
2019-06-26,,"12,140","12,200","12,000"
2019-06-27,,"12,000","12,000","11,660"
2019-06-28,,"11,660","11,970","11,970"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"11,970","12,070","12,000"
2019-07-02,,"12,000","11,750","12,000"
2019-07-03,,"12,000","12,000","12,350"
2019-07-04,,"12,360","12,400","12,700"
2019-07-05,,"12,700","12,750","12,370"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"12,370","12,360","12,330"
2019-07-09,,"12,330","12,350","12,320"
2019-07-10,,"12,320","12,320","12,360"
2019-07-11,,"12,360","12,630","12,630"
2019-07-12,,"12,630","12,360","12,690"
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"12,690","12,530","12,690"
2019-07-16,,"12,690","12,370","12,690"
2019-07-17,,"12,690","12,690","12,360"
2019-07-18,,"12,360","12,600","12,600"
2019-07-19,,"12,600","12,600","12,300"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"12,300","12,300","12,280"
2019-07-23,,"12,280","12,280","12,250"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"12,250","12,060","12,280"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"12,250","11,970","12,050"
2019-07-31,,"12,050","12,300","12,300"
2019-08-01,,"12,300","11,940","11,940"
2019-08-02,,"11,940","11,940","11,950"
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"11,950","12,250","12,250"
2019-08-06,,"12,250","12,250","12,230"
2019-08-07,,"12,230","11,900","12,190"
2019-08-08,,"12,190",,
2019-08-09,,"12,190","11,900","12,150"
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"12,150","11,810","12,120"
2019-08-15,,"12,120","11,810","11,950"
2019-08-16,,"11,950","11,840","11,950"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"11,950","12,280","12,270"
2019-08-20,,"12,270",,
2019-08-21,,"12,270","12,200","12,010"
2019-08-22,,"12,010","11,910","11,910"
2019-08-23,,"11,910","12,200","12,200"
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"12,200",,
2019-08-27,,,,
2019-08-28,,,,
2019-08-29,,,,
2019-08-30,,,,
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,,,
2019-09-03,,,,
2019-09-04,,,,
2019-09-05,,,,
2019-09-06,,,,
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,,,
2019-09-12,,,,
2019-09-13,,,,
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,,,
2019-09-17,,,,
2019-09-18,,,,
2019-09-19,,,,
2019-09-20,,,,
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,,,
2019-09-24,,,,
2019-09-25,,,,
2019-09-26,,,,
2019-09-27,,,,
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,,,
2019-10-01,,,,
2019-10-02,,,,
2019-10-03,,,,
2019-10-04,,,,
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,,,
2019-10-08,,,,
2019-10-09,,,,
2019-10-10,,,,
2019-10-11,,,,
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,,,
2019-10-15,,,,
2019-10-16,,,,
2019-10-17,,,,
2019-10-18,,,,
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,,,
2019-10-22,,,,
2019-10-23,,,,
2019-10-24,,,,
2019-10-25,,,,
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,,,
2019-10-29,,,,
2019-10-30,,,,
2019-10-31,,,,
2019-11-01,,,,
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,,,
2019-11-05,,,,
2019-11-06,,,,
2019-11-07,,,,
2019-11-08,,,,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,,,
2019-11-12,,,,
2019-11-13,,,,
2019-11-14,,,,
2019-11-15,,,,
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,,,
2019-11-19,,,,
2019-11-20,,,,
2019-11-21,,,,
2019-11-22,,,,
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,,,
2019-11-26,,,,
2019-11-27,,,,
2019-11-28,,,,
2019-11-29,,,,
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,,,
2019-12-03,,,,
2019-12-04,,,,
2019-12-05,,,,
2019-12-06,,,,
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,,,
2019-12-10,,,,
2019-12-11,,,,
2019-12-12,,,,
2019-12-13,,,,
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,,,
2019-12-17,,,,
2019-12-18,,,,
2019-12-19,,,,
2019-12-20,,,,
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,,,
2019-12-24,,,,
2019-12-25,,,,
2019-12-26,,,,
2019-12-27,,,,
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,,,
2019-12-31,,,,
2020-01-01,,,,
2020-01-02,,,,
2020-01-03,,,,
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,,,
2020-01-07,,,,
2020-01-08,,,,
2020-01-09,,,,
2020-01-10,,,,
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,,,
2020-01-14,,,,
2020-01-15,,,,
2020-01-16,,,,
2020-01-17,,,,
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,,,
2020-01-21,,,,
2020-01-22,,,,
2020-01-23,,,,
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,,,,
2020-03-26,,,,
2020-03-27,,,,
2020-03-28,,,,
2020-03-29,,,,
2020-03-30,,,,
2020-03-31,,,,
2020-04-01,,,,
2020-04-02,,,,
2020-04-03,,,,
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,,,
2020-04-07,,,,
2020-04-08,,,,
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,,,
2020-04-14,,,,
2020-04-15,,,,
2020-04-16,,,,
2020-04-17,,,,
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,,,
2020-04-21,,,,
2020-04-22,,,,
2020-04-23,,,,
2020-04-24,,,,
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,,,
2020-04-28,,,,
2020-04-29,,,,
2020-04-30,,,,
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,,,
2020-05-05,,,,
2020-05-06,,,,
2020-05-07,,,,
2020-05-08,,,,
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,,,
2020-05-12,,,,
2020-05-13,,,,
2020-05-14,,,,
2020-05-15,,,,
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,,,
2020-05-19,,,,
2020-05-20,,,,
2020-05-21,,,,
2020-05-22,,,,
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,,,
2020-05-27,,,,
2020-05-28,,,,
2020-05-29,,,,
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,,,
2020-06-03,,,,
2020-06-04,,,,
2020-06-05,,,,
2020-06-06,,,,
2020-06-07,,,,
2020-06-08,,,,
2020-06-09,,,,
2020-06-10,,,,
2020-06-11,,,,
2020-06-12,,,,
2020-06-13,,,,
2020-06-14,,,,
2020-06-15,,,,
2020-06-16,,,,
2020-06-17,,,,
2020-06-18,,,,
2020-06-19,,,,
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,,,
2020-06-23,,,,
2020-06-24,,,,
2020-06-25,,,,
2020-06-26,,,,
2020-06-27,,,,
2020-06-28,,,,
2020-06-29,,,,
2020-06-30,,,,
2020-07-01,,,,
2020-07-02,,,,
2020-07-03,,,,
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,,,
2020-07-07,,,,
2020-07-08,,,,
2020-07-09,,,,
2020-07-10,,,,
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,,,
2020-07-14,,,,
2020-07-15,,,,
2020-07-16,,,,
2020-07-17,,,,
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,,,,
2020-07-21,,,,
2020-07-22,,,,
2020-07-23,,,,
2020-07-24,,,,
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,,,
2020-07-28,,,,
2020-07-29,,,,
2020-07-30,,,,
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,,,
2020-08-04,,,,
2020-08-05,,,,
2020-08-06,,,,
2020-08-07,,,,
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,,,
2020-08-11,,,,
2020-08-12,,,,
2020-08-13,,,,
2020-08-14,,,,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,,,
2020-08-18,,,,
2020-08-19,,,,
2020-08-20,,,,
2020-08-21,,,,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,,,
2020-08-25,,,,
2020-08-26,,,,
2020-08-27,,,,
2020-08-28,,,,
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,,,
2020-09-01,,,,
2020-09-02,,,,
2020-09-03,,,,
2020-09-04,,,,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,,,
2020-09-08,,,,
2020-09-09,,,,
2020-09-10,,,,
2020-09-11,,,,
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,,,
2020-09-15,,,,
2020-09-16,,,,
2020-09-17,,,,
2020-09-18,,,,
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,,,
2020-09-22,,,,
2020-09-23,,,,
2020-09-24,,,,
2020-09-25,,,,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
