,CIL,ref,ouverture,cloture
2019-06-18,,"15,430","14,970","14,530"
2019-06-19,,"14,530","14,950","15,180"
2019-06-20,,"15,180","15,700","15,400"
2019-06-21,,"15,400","15,400","15,390"
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,"15,390","14,930","15,000"
2019-06-25,,"15,000","15,500","15,000"
2019-06-26,,"15,000",,
2019-06-27,,"15,000","15,450","14,550"
2019-06-28,,"14,550","14,550","14,550"
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,"14,550",,
2019-07-02,,"14,550","15,200","15,200"
2019-07-03,,"15,200","15,400","15,390"
2019-07-04,,"15,390",,
2019-07-05,,"15,390","15,390","15,000"
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,"15,000","15,390","15,390"
2019-07-09,,"15,390",,
2019-07-10,,"15,390",,
2019-07-11,,"15,390","14,930","15,390"
2019-07-12,,"15,390",,
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,"15,390",,
2019-07-16,,"15,390","15,390","15,390"
2019-07-17,,"15,390",,
2019-07-18,,"15,390","14,930","14,930"
2019-07-19,,"14,930","15,300","15,300"
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,"15,300",,
2019-07-23,,"15,300","15,380","15,390"
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,"15,390","15,390","15,390"
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,"15,300",,
2019-07-31,,"15,300","15,750","15,800"
2019-08-01,,"15,800",,
2019-08-02,,"15,800",,
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,"15,800","15,390","15,700"
2019-08-06,,"15,700",,
2019-08-07,,"15,700",,
2019-08-08,,"15,700",,
2019-08-09,,"15,700",,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,"15,700","15,800","16,000"
2019-08-15,,"16,000","15,990","16,000"
2019-08-16,,"16,000","15,990","15,950"
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,"15,950","16,000","15,900"
2019-08-20,,"15,900","15,900","16,000"
2019-08-21,,"16,000","15,900","15,900"
2019-08-22,,"15,900","15,900","16,000"
2019-08-23,,"16,000",,
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,"16,000",,
2019-08-27,,"16,000",,
2019-08-28,,"16,000",,
2019-08-29,,"16,000",,
2019-08-30,,"16,000","15,900","15,900"
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,"15,900","16,000","16,370"
2019-09-03,,"16,370",,
2019-09-04,,"16,370","15,900","15,900"
2019-09-05,,"15,900","15,500","15,500"
2019-09-06,,"15,500","15,500","15,500"
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,"16,000","16,000","16,000"
2019-09-12,,"16,000","16,000","16,000"
2019-09-13,,"16,000","16,000","15,900"
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,"15,900",,
2019-09-17,,"15,900",,
2019-09-18,,"15,900","15,900","16,300"
2019-09-19,,"16,300",,
2019-09-20,,"15,820","15,350","15,350"
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,"15,350","15,350","15,350"
2019-09-24,,"15,350","16,040","16,040"
2019-09-25,,"16,040",,
2019-09-26,,"16,040","16,040","15,900"
2019-09-27,,"15,900","15,900","15,900"
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,"15,900","16,100","16,100"
2019-10-01,,"16,100",,
2019-10-02,,"16,100",,
2019-10-03,,"16,100",,
2019-10-04,,"16,100",,
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,"16,100",,
2019-10-08,,"16,100",,
2019-10-09,,"16,100",,
2019-10-10,,"16,100",,
2019-10-11,,"16,100",,
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,"16,100","16,000","16,000"
2019-10-15,,,,
2019-10-16,,"16,000","16,000","15,950"
2019-10-17,,"15,950","16,000","16,000"
2019-10-18,,"16,000",,
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,"15,520","15,060","14,580"
2019-10-22,,"14,580",,
2019-10-23,,"14,580",,
2019-10-24,,"15,010","15,380","15,380"
2019-10-25,,"15,380","15,380","15,380"
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,"15,380","15,380","15,380"
2019-10-29,,"15,380","15,380","15,840"
2019-10-30,,"15,840","16,290","16,200"
2019-10-31,,"16,200","16,200","16,200"
2019-11-01,,"16,200","16,680","16,680"
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,"16,680",,
2019-11-05,,"16,680",,
2019-11-06,,"16,680","16,680","16,600"
2019-11-07,,"16,600","16,110","16,500"
2019-11-08,,"16,500",,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,"16,500",,
2019-11-12,,"16,500","16,300","16,300"
2019-11-13,,"16,300",,
2019-11-14,,"16,300","16,400","16,400"
2019-11-15,,"16,400","16,400","16,400"
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,"16,400","16,450","16,450"
2019-11-19,,"16,450","16,500","16,500"
2019-11-20,,"16,500","16,500","16,500"
2019-11-21,,"16,500","16,500","16,500"
2019-11-22,,"16,500","16,500","16,500"
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,"16,500","16,500","16,500"
2019-11-26,,"16,500",,
2019-11-27,,"16,500",,
2019-11-28,,"16,500",,
2019-11-29,,"16,500","16,350","16,400"
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,"16,400","16,400","16,400"
2019-12-03,,"16,400","16,300","16,400"
2019-12-04,,"16,400",,
2019-12-05,,"16,400","16,300","16,250"
2019-12-06,,"16,250","16,250","16,250"
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,"16,250",,
2019-12-10,,"16,250","16,180","16,200"
2019-12-11,,"16,200","16,200","15,910"
2019-12-12,,"15,910","15,910","15,440"
2019-12-13,,"15,440","15,900","15,900"
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,"15,900",,
2019-12-17,,"15,900","15,430","15,430"
2019-12-18,,"15,430","15,430","15,430"
2019-12-19,,"15,430","15,000","15,430"
2019-12-20,,"15,430","15,430","15,430"
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,"15,430","15,430","15,400"
2019-12-24,,"15,400",,
2019-12-25,,"15,400","15,050","14,950"
2019-12-26,,"14,950","14,950","14,900"
2019-12-27,,"14,900","14,950","14,950"
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,"14,950",,
2019-12-31,,"14,950","14,950","14,950"
2020-01-01,,,,
2020-01-02,,"14,950",,
2020-01-03,,"14,950",,
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,"14,950","15,200","15,200"
2020-01-07,,"15,200",,
2020-01-08,,"15,200","15,100","15,000"
2020-01-09,,"15,000","15,000","15,000"
2020-01-10,,"15,000","15,000","15,000"
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,"15,000","14,550","15,000"
2020-01-14,,,,
2020-01-15,,"15,000","15,000","15,010"
2020-01-16,,"15,010","15,000","15,000"
2020-01-17,,"15,000","15,000","15,000"
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,"15,000","15,000","15,000"
2020-01-21,,"15,000","15,000","15,000"
2020-01-22,,"15,000","15,000","15,000"
2020-01-23,,"15,000","15,000","15,000"
2020-01-24,,"15,000","15,000","15,000"
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,"15,000","15,000","15,000"
2020-01-28,,"15,000","15,000","15,000"
2020-01-29,,"15,000","15,000","15,000"
2020-01-30,,"15,000","15,000","15,000"
2020-01-31,,"15,000","15,000","15,000"
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,"15,000","15,000","15,000"
2020-02-04,,"15,000","15,000","15,000"
2020-02-05,,"15,000","15,000","15,000"
2020-02-06,,"15,000",,
2020-02-07,,"15,000","15,000","15,000"
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,"15,000","15,000","15,000"
2020-02-11,,"15,000","15,000","15,000"
2020-02-12,,"15,000","15,000","15,000"
2020-02-13,,"15,000","15,000","15,000"
2020-02-14,,"15,000","15,000","15,200"
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,"15,000",,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,"15,000",,
2020-03-06,,"15,000","15,000","15,000"
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,"15,000",,
2020-03-10,,"15,000","15,000","15,000"
2020-03-11,,"15,000","15,000","15,000"
2020-03-12,,"15,000",,
2020-03-13,,"15,000",,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,"15,000",,
2020-03-17,,"15,000",,
2020-03-18,,"15,000","14,550","15,000"
2020-03-19,,"15,000","15,450","15,450"
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,"15,450","15,000","15,000"
2020-03-24,,"15,000","15,000","15,000"
2020-03-25,,"15,000","15,000","15,400"
2020-03-26,,"15,400","15,860","15,600"
2020-03-27,,"15,600",,
2020-03-28,,,,
2020-03-29,,,,
2020-03-30,,"15,600",,
2020-03-31,,"15,140","15,000","15,400"
2020-04-01,,"15,400","15,400","15,800"
2020-04-02,,"15,800",,
2020-04-03,,"15,800",,
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,"15,800",,
2020-04-07,,"15,800",,
2020-04-08,,"15,800",,
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,"15,800",,
2020-04-14,,"15,800",,
2020-04-15,,"15,800",,
2020-04-16,,"15,800","15,330","15,400"
2020-04-17,,"15,400","14,940","14,940"
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,"14,940",,
2020-04-21,,"14,940",,
2020-04-22,,"14,940",,
2020-04-23,,"14,940","14,500","15,380"
2020-04-24,,"15,380",,
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,"15,380",,
2020-04-28,,"15,380",,
2020-04-29,,"15,380",,
2020-04-30,,"15,380",,
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,"15,380",,
2020-05-05,,"15,380","15,400","15,400"
2020-05-06,,"15,400",,
2020-05-07,,"15,400","15,500","15,500"
2020-05-08,,"15,500",,
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,"15,500",,
2020-05-12,,"15,500",,
2020-05-13,,"15,500",,
2020-05-14,,"15,500",,
2020-05-15,,"15,500","15,960","15,900"
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,"15,900",,
2020-05-19,,"15,900",,
2020-05-20,,"15,900","16,350","16,350"
2020-05-21,,"16,350","16,000","16,000"
2020-05-22,,"16,000",,
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,"16,000",,
2020-05-27,,"16,000",,
2020-05-28,,"16,000",,
2020-05-29,,"16,000",,
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,"16,000","16,000","16,000"
2020-06-03,,,,
2020-06-04,,"16,000","16,000","16,000"
2020-06-05,,"16,000","16,000","15,530"
2020-06-06,,,,
2020-06-07,,,,
2020-06-08,,"15,530","15,500","15,500"
2020-06-09,,"15,500",,
2020-06-10,,"15,500","15,090","15,090"
2020-06-11,,"15,090","15,120","15,120"
2020-06-12,,"15,120",,
2020-06-13,,,,
2020-06-14,,,,
2020-06-15,,"15,120",,
2020-06-16,,"15,120","15,140","15,140"
2020-06-17,,"15,140","15,500","15,500"
2020-06-18,,"15,500","15,930","15,940"
2020-06-19,,"15,940","16,380","16,380"
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,"16,380",,
2020-06-23,,"16,380",,
2020-06-24,,"16,380",,
2020-06-25,,"16,380",,
2020-06-26,,"16,380",,
2020-06-27,,,,
2020-06-28,,,,
2020-06-29,,"16,380","16,000","16,000"
2020-06-30,,"16,000",,
2020-07-01,,"16,000",,
2020-07-02,,"16,000",,
2020-07-03,,"16,000",,
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,"16,000",,
2020-07-07,,"16,000",,
2020-07-08,,"16,000","16,000","16,000"
2020-07-09,,"16,000","16,000","16,000"
2020-07-10,,"16,000","16,000","16,000"
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,"16,000",,
2020-07-14,,"16,000","15,720","16,000"
2020-07-15,,"16,000","16,000","16,000"
2020-07-16,,"16,000","15,730","15,720"
2020-07-17,,"15,720",,
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,,"15,720",,
2020-07-21,,"15,720","15,720","15,720"
2020-07-22,,"15,720",,
2020-07-23,,"15,720",,
2020-07-24,,"15,720","16,190","16,190"
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,"16,190",,
2020-07-28,,"16,190",,
2020-07-29,,"16,190",,
2020-07-30,,"16,190","15,520","15,520"
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,"15,520",,
2020-08-04,,"15,520",,
2020-08-05,,"15,520","15,500","15,500"
2020-08-06,,"15,500",,
2020-08-07,,"15,500",,
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,"15,500",,
2020-08-11,,"15,500",,
2020-08-12,,"15,500",,
2020-08-13,,,,
2020-08-14,,"15,500",,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,"15,500",,
2020-08-18,,"15,500","15,900","15,960"
2020-08-19,,"15,960",,
2020-08-20,,,,
2020-08-21,,"15,960",,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,"15,960","15,490","16,400"
2020-08-25,,"16,400",,
2020-08-26,,"16,400",,
2020-08-27,,"16,400","15,910","15,910"
2020-08-28,,"15,910","15,440","15,900"
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,"15,900",,
2020-09-01,,"15,900","15,900","15,900"
2020-09-02,,"15,900",,
2020-09-03,,"15,900",,
2020-09-04,,"15,900",,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,"15,900",,
2020-09-08,,"15,900",,
2020-09-09,,"15,900",,
2020-09-10,,"15,900","15,430","16,000"
2020-09-11,,"16,000","15,280","16,000"
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,"16,000",,
2020-09-15,,"16,000",,
2020-09-16,,"16,000",,
2020-09-17,,"16,000","16,000","16,000"
2020-09-18,,"16,000","16,000","16,000"
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,"16,000",,
2020-09-22,,"16,000",,
2020-09-23,,"16,000","15,990","15,990"
2020-09-24,,"15,990",,
2020-09-25,,"15,990",,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
