,GIF,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"1,480","1,480","1,440"
2018-01-04,,"1,440","1,440","1,480"
2018-01-05,,"1,480","1,440","1,460"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"1,460","1,420","1,440"
2018-01-09,,"1,440","1,430","1,430"
2018-01-10,,"1,430","1,460","1,460"
2018-01-11,,"1,460","1,430","1,460"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"1,470","1,480","1,470"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"1,500","1,480","1,470"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"1,530","1,520","1,520"
2018-02-21,,"1,520","1,500","1,520"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"1,510","1,510","1,520"
2018-03-08,,"1,520","1,510","1,520"
2018-03-09,,"1,520","1,500","1,510"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"1,510","1,490","1,520"
2018-03-13,,"1,520","1,510","1,500"
2018-03-14,,"1,500","1,500","1,490"
2018-03-15,,"1,490","1,520","1,490"
2018-03-16,,"1,490","1,460","1,510"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"1,510","1,510","1,510"
2018-03-20,,,,
2018-03-21,,"1,510","1,500","1,500"
2018-03-22,,"1,500","1,460","1,500"
2018-03-23,,"1,500","1,460","1,500"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"1,500","1,490","1,490"
2018-03-27,,"1,490","1,470","1,500"
2018-03-28,,"1,500","1,480","1,500"
2018-03-29,,"1,500","1,450","1,500"
2018-03-30,,"1,500","1,460","1,500"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"1,500","1,480","1,460"
2018-04-03,,"1,460","1,500","1,490"
2018-04-04,,"1,490","1,490","1,480"
2018-04-05,,"1,480","1,480","1,480"
2018-04-06,,"1,480","1,450","1,480"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"1,480","1,440","1,440"
2018-04-11,,"1,440","1,440","1,480"
2018-04-12,,"1,480","1,470","1,480"
2018-04-13,,"1,480",,
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"1,480","1,470","1,480"
2018-04-17,,"1,480","1,470","1,480"
2018-04-18,,"1,480","1,470","1,480"
2018-04-19,,"1,480","1,460","1,480"
2018-04-20,,"1,480","1,470","1,500"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"1,500","1,500","1,490"
2018-04-24,,"1,490",,
2018-04-25,,"1,430","1,400","1,400"
2018-04-26,,"1,400","1,440","1,430"
2018-04-27,,"1,430","1,410","1,430"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"1,430","1,400","1,420"
2018-05-01,,,,
2018-05-02,,"1,420","1,380","1,420"
2018-05-03,,"1,420","1,390","1,420"
2018-05-04,,"1,420","1,420","1,410"
2018-05-05,,,,
2018-05-06,,,,
2018-05-07,,"1,410","1,410","1,410"
2018-05-08,,"1,410","1,380","1,400"
2018-05-09,,"1,400","1,420","1,400"
2018-05-10,,"1,400","1,400","1,360"
2018-05-11,,"1,360","1,390","1,400"
2018-05-12,,,,
2018-05-13,,,,
2018-05-14,,"1,400","1,410","1,370"
2018-05-15,,"1,370","1,370","1,380"
2018-05-16,,"1,380","1,390","1,360"
2018-05-17,,"1,360","1,380","1,390"
2018-05-18,,"1,390","1,410","1,400"
2018-05-19,,,,
2018-05-20,,,,
2018-05-21,,"1,400","1,400","1,390"
2018-05-22,,"1,390","1,410","1,390"
2018-05-23,,"1,390","1,380","1,370"
2018-05-24,,"1,370","1,370","1,370"
2018-05-25,,"1,370","1,360","1,400"
2018-05-26,,,,
2018-05-27,,,,
2018-05-28,,"1,400","1,410","1,430"
2018-05-29,,"1,430","1,410","1,390"
2018-05-30,,"1,390","1,360","1,400"
2018-05-31,,"1,400","1,360","1,400"
2018-06-01,,"1,400","1,370","1,360"
2018-06-02,,,,
2018-06-03,,,,
2018-06-04,,"1,360","1,360","1,390"
2018-06-05,,"1,390","1,410","1,390"
2018-06-06,,"1,390","1,380","1,390"
2018-06-07,,,,
2018-06-08,,"1,380","1,380","1,380"
2018-06-09,,,,
2018-06-10,,,,
2018-06-11,,"1,380","1,370","1,350"
2018-06-12,,"1,350","1,390","1,380"
2018-06-13,,"1,380","1,380","1,390"
2018-06-14,,"1,390","1,400","1,360"
2018-06-15,,,,
2018-06-16,,,,
2018-06-17,,,,
2018-06-18,,"1,360","1,360","1,390"
2018-06-19,,"1,390","1,390","1,470"
2018-06-20,,"1,470",,
2018-06-21,,"1,530","1,590","1,470"
2018-06-22,,"1,470","1,430","1,400"
2018-06-23,,,,
2018-06-24,,,,
2018-06-25,,"1,400","1,440","1,440"
2018-06-26,,"1,440","1,440","1,430"
2018-06-27,,"1,430","1,430","1,460"
2018-06-28,,"1,460","1,440","1,410"
2018-06-29,,"1,410","1,410","1,410"
2018-06-30,,,,
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,,"1,410","1,370","1,420"
2018-07-04,,"1,420","1,380","1,400"
2018-07-05,,"1,400","1,410","1,370"
2018-07-06,,"1,370","1,370","1,350"
2018-07-07,,,,
2018-07-08,,,,
2018-07-09,,"1,350","1,350","1,350"
2018-07-10,,"1,350","1,350","1,330"
2018-07-11,,"1,330","1,360","1,340"
2018-07-12,,"1,340","1,370","1,360"
2018-07-13,,"1,360","1,370","1,350"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"1,350","1,340","1,340"
2018-07-17,,"1,340","1,370","1,340"
2018-07-18,,"1,340","1,370","1,360"
2018-07-19,,"1,360","1,320","1,320"
2018-07-20,,"1,320","1,330","1,340"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"1,340","1,350","1,330"
2018-07-24,,"1,330","1,340","1,320"
2018-07-25,,,,
2018-07-26,,"1,320","1,320","1,310"
2018-07-27,,"1,310","1,300","1,330"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"1,330","1,330","1,310"
2018-07-31,,"1,310","1,300","1,330"
2018-08-01,,"1,330","1,330","1,380"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"1,310","1,340","1,330"
2018-08-07,,"1,330","1,360","1,330"
2018-08-08,,"1,330","1,310","1,340"
2018-08-09,,"1,340","1,300","1,330"
2018-08-10,,"1,330","1,320","1,330"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"1,330","1,300","1,330"
2018-08-15,,"1,330","1,330","1,300"
2018-08-16,,"1,300","1,290","1,310"
2018-08-17,,"1,310","1,290","1,290"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"1,290","1,310","1,280"
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"1,280","1,280","1,280"
2018-08-24,,"1,280","1,300","1,280"
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"1,280","1,280","1,290"
2018-08-28,,"1,290","1,260","1,290"
2018-08-29,,"1,290","1,290","1,270"
2018-08-30,,"1,270","1,270","1,270"
2018-08-31,,"1,270","1,270","1,250"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"1,250","1,260","1,250"
2018-09-04,,"1,250","1,220","1,250"
2018-09-05,,,,
2018-09-06,,"1,220","1,240","1,210"
2018-09-07,,"1,210","1,230","1,230"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"1,250","1,250","1,220"
2018-09-13,,"1,220","1,190","1,220"
2018-09-14,,"1,220","1,190","1,220"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"1,220","1,250","1,220"
2018-09-18,,"1,220","1,250","1,220"
2018-09-19,,"1,220","1,200","1,210"
2018-09-20,,"1,210","1,190","1,170"
2018-09-21,,"1,170","1,200","1,190"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"1,190","1,220","1,220"
2018-09-25,,"1,220","1,170","1,190"
2018-09-26,,"1,190","1,190","1,190"
2018-09-27,,"1,190","1,150","1,150"
2018-09-28,,"1,140","1,130","1,100"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"1,100","1,100","1,080"
2018-10-02,,"1,080","1,070","1,050"
2018-10-03,,"1,050",,
2018-10-04,,"1,010","0,980","0,980"
2018-10-05,,"0,980","0,980","1,030"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"1,030",,
2018-10-09,,"1,070","1,110","1,130"
2018-10-10,,"1,130","1,180","1,160"
2018-10-11,,,,
2018-10-12,,"1,100","1,130","1,100"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"1,100","1,110","1,040"
2018-10-17,,"1,040","1,030","1,060"
2018-10-18,,"1,060","1,060","1,060"
2018-10-19,,"1,060","1,090","1,060"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"1,060","1,090","1,060"
2018-10-23,,"1,060","1,060","1,030"
2018-10-24,,"1,030","1,060","1,030"
2018-10-25,,"1,030","1,020","1,050"
2018-10-26,,"1,050","1,020","1,050"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"1,050","1,050","1,040"
2018-10-30,,"1,040","1,040","1,030"
2018-10-31,,"1,030","1,000","1,020"
2018-11-01,,"1,020","1,020","1,010"
2018-11-02,,"1,010","0,980","1,020"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"1,020","1,050","1,040"
2018-11-06,,"1,040","1,020","1,020"
2018-11-07,,"1,020","1,050","1,040"
2018-11-08,,"1,040","1,050","1,020"
2018-11-09,,"1,020","0,990","1,040"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"1,040","1,030","1,020"
2018-11-13,,"1,020","1,040","1,020"
2018-11-14,,"1,020","1,020","1,030"
2018-11-15,,"1,030","1,030","1,010"
2018-11-16,,"1,010","1,030","1,010"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"1,010","1,020","1,000"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"1,020","1,020","1,020"
2018-11-23,,"1,020","1,030","1,030"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"1,030","1,030","1,020"
2018-11-27,,"1,020","1,030","1,080"
2018-11-28,,"1,080",,
2018-11-29,,"1,120",,
2018-11-30,,"1,170","1,220","1,120"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"1,120","1,130","1,100"
2018-12-04,,"1,070","1,090","1,080"
2018-12-05,,"1,080","1,070","1,050"
2018-12-06,,"1,050","1,060","1,030"
2018-12-07,,"1,030","1,030","1,050"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"1,050","1,030","1,020"
2018-12-11,,"1,020","1,040","1,020"
2018-12-12,,"1,020","1,030","1,020"
2018-12-13,,"1,020","1,000","1,010"
2018-12-14,,"1,010","1,000","1,020"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"1,020","1,020","1,010"
2018-12-18,,,,
2018-12-19,,"1,020","1,000","1,020"
2018-12-20,,"1,020","1,000","1,020"
2018-12-21,,"1,020","0,990","1,010"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"1,010","1,010","1,030"
2018-12-25,,"1,030","1,030","1,030"
2018-12-26,,"1,030","1,000","1,020"
2018-12-27,,"1,020","1,030","1,030"
2018-12-28,,"1,030","1,000","1,010"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"1,010","1,000","1,020"
2019-01-01,,,,
2019-01-02,,"1,020","0,990","1,020"
2019-01-03,,"1,020","1,000","1,020"
2019-01-04,,"1,020","1,000","1,010"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"1,010","1,000","1,010"
2019-01-08,,"1,010","1,000","1,020"
2019-01-09,,,,
2019-01-10,,"1,010","1,000","1,010"
2019-01-11,,"1,010","1,000","1,010"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"1,010","0,990","1,010"
2019-01-16,,"1,010","1,000","0,990"
2019-01-17,,"0,990","1,010","1,000"
2019-01-18,,"1,000","1,000","1,000"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"1,000","0,990","1,010"
2019-01-22,,"1,010","1,000","1,000"
2019-01-23,,"1,000","1,000","1,000"
2019-01-24,,"1,000","1,010","1,010"
2019-01-25,,"1,010","1,000","1,010"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"1,010","0,990","1,000"
2019-01-29,,"1,000","0,990","1,000"
2019-01-30,,"1,000","0,980","1,000"
2019-01-31,,"1,000","0,980","1,000"
2019-02-01,,"1,000","0,980","1,000"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"1,000","0,970","1,000"
2019-02-05,,"1,000","0,970","0,980"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"1,040","1,040","1,010"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"0,990","0,970","0,970"
2019-02-14,,"0,970","0,990","0,990"
2019-02-15,,"0,990","0,970","0,990"
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"0,990","0,990","0,990"
2019-02-19,,"0,990","0,990","0,990"
2019-02-20,,"0,990","0,990","0,970"
2019-02-21,,"0,970","0,980","0,970"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"0,970","0,980","0,980"
2019-02-26,,"0,980","0,990","0,990"
2019-02-27,,"0,990","0,990","0,980"
2019-02-28,,"0,980","0,960","0,980"
2019-03-01,,"0,980","0,960","0,960"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"0,960","0,960","0,960"
2019-03-05,,"0,960","0,950","0,970"
2019-03-06,,"0,970","0,970","0,960"
2019-03-07,,"0,960","0,950","0,960"
2019-03-08,,"0,960","0,950","0,950"
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"0,950","0,940","0,940"
2019-03-12,,"0,940","0,930","0,950"
2019-03-13,,"0,950","0,950","0,950"
2019-03-14,,"0,950","0,950","0,950"
2019-03-15,,"0,930","0,950","0,940"
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"0,940","0,930","0,920"
2019-03-19,,"0,920","0,900","0,890"
2019-03-20,,,,
2019-03-21,,"0,890","0,910","0,920"
2019-03-22,,"0,920","0,940","0,920"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"0,920","0,940","0,940"
2019-03-26,,"0,940","0,940","0,940"
2019-03-27,,"0,940","0,940","0,940"
2019-03-28,,,,
2019-03-29,,"0,940","0,940","0,940"
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"0,920","0,940","0,930"
2019-04-02,,"0,930","0,930","0,930"
2019-04-03,,"0,930","0,940","0,920"
2019-04-04,,"0,920","0,940","0,920"
2019-04-05,,"0,920","0,930","0,940"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"0,940","0,940","0,920"
2019-04-09,,,,
2019-04-10,,"0,920","0,940","0,920"
2019-04-11,,"0,920","0,940","0,910"
2019-04-12,,"0,910","0,940","0,930"
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"0,930","0,940","0,930"
2019-04-16,,"0,930","0,950","0,940"
2019-04-17,,"0,940","0,930","0,930"
2019-04-18,,"0,930","0,910","0,900"
2019-04-19,,"0,900","0,900","0,900"
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"0,900","0,920","0,900"
2019-04-23,,"0,900","0,890","0,880"
2019-04-24,,"0,880","0,880","0,890"
2019-04-25,,"0,890","0,890","0,890"
2019-04-26,,"0,890","0,910","0,920"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"0,920",,
2019-04-30,,"0,900","0,870","0,900"
2019-05-01,,,,
2019-05-02,,"0,900",,
2019-05-03,,"0,900","0,910","0,900"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"0,900","0,910","0,910"
2019-05-07,,"0,910",,
2019-05-08,,"0,910","0,900","0,900"
2019-05-09,,"0,900","0,910","0,910"
2019-05-10,,"0,910","0,900","0,910"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"0,910","0,910","0,890"
2019-05-14,,"0,890","0,910","0,910"
2019-05-15,,"0,910","0,890","0,890"
2019-05-16,,"0,890","0,870","0,900"
2019-05-17,,"0,900","0,880","0,900"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"0,900","0,860","0,890"
2019-05-21,,"0,890",,
2019-05-22,,"0,890","0,880","0,870"
2019-05-23,,"0,870","0,860","0,870"
2019-05-24,,"0,870","0,880","0,870"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"0,870","0,870","0,870"
2019-05-28,,"0,870","0,860","0,850"
2019-05-29,,"0,850","0,870","0,870"
2019-05-30,,"0,870","0,850","0,850"
2019-05-31,,"0,850","0,830","0,840"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"0,840","0,830","0,840"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"0,840","0,840","0,840"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"0,840","0,840","0,860"
2019-06-11,,,,
2019-06-12,,"0,890","0,890","0,890"
2019-06-13,,"0,890",,
2019-06-14,,"0,890","0,870","0,870"
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,"0,870",,
