,TL,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"13,810","14,050","14,470"
2018-01-04,,"14,470","14,100","14,460"
2018-01-05,,"14,460","14,150","14,460"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"14,460",,
2018-01-09,,"14,460",,
2018-01-10,,"14,460","14,200","14,200"
2018-01-11,,"14,200","14,230","14,200"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"14,000","14,050","14,050"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"13,800","13,800","13,970"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"13,400","13,100","13,200"
2018-02-21,,"13,200","13,200","13,200"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"12,900","12,900","13,270"
2018-03-08,,"13,270","13,430","13,660"
2018-03-09,,"13,660","13,500","13,500"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"13,500","13,900","13,390"
2018-03-13,,"13,390","13,390","13,390"
2018-03-14,,"13,390","13,250","13,200"
2018-03-15,,"13,200","13,570","13,200"
2018-03-16,,"13,200","13,250","13,990"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"13,990","14,090","14,700"
2018-03-20,,,,
2018-03-21,,"14,700","15,140","15,200"
2018-03-22,,"15,200","15,000","15,000"
2018-03-23,,"15,000","15,000","15,150"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"15,150","15,220","15,600"
2018-03-27,,"15,600","15,590","15,900"
2018-03-28,,"15,900","15,700","15,790"
2018-03-29,,"15,790","15,700","15,980"
2018-03-30,,"15,980","15,690","15,950"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"15,950","15,850","15,850"
2018-04-03,,"15,850","15,450","15,740"
2018-04-04,,"15,740","15,400","15,500"
2018-04-05,,"15,500","15,700","15,620"
2018-04-06,,"15,620","15,160","15,700"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"15,700","15,640","15,630"
2018-04-11,,"15,630","15,590","15,990"
2018-04-12,,"15,990","15,800","15,990"
2018-04-13,,"15,990","15,520","15,980"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"15,980","15,600","16,080"
2018-04-17,,"16,080","16,000","16,070"
2018-04-18,,"16,070",,
2018-04-19,,"16,070","16,000","16,000"
2018-04-20,,"16,000","16,000","16,000"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"16,000",,
2018-04-24,,"16,000","15,990","16,000"
2018-04-25,,"16,000","16,000","16,000"
2018-04-26,,"16,000","15,980","16,000"
2018-04-27,,"16,000","16,000","16,000"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"16,000","16,000","16,000"
2018-05-01,,,,
2018-05-02,,"16,000",,
2018-05-03,,"16,000","15,530","16,000"
2018-05-04,,"16,000","16,000","15,990"
2018-05-05,,,,
2018-05-06,,,,
2018-05-07,,"15,990","15,950","15,990"
2018-05-08,,"15,990","16,010","16,000"
2018-05-09,,"16,000","16,380","16,000"
2018-05-10,,"16,000","16,000","16,000"
2018-05-11,,"16,000","16,250","16,000"
2018-05-12,,,,
2018-05-13,,,,
2018-05-14,,"16,000","16,000","16,400"
2018-05-15,,"16,400","16,400","16,800"
2018-05-16,,"16,800","16,740","17,240"
2018-05-17,,"16,240","16,250","16,670"
2018-05-18,,"16,670","16,660","16,650"
2018-05-19,,,,
2018-05-20,,,,
2018-05-21,,"16,650","16,490","16,290"
2018-05-22,,"16,290","16,000","16,300"
2018-05-23,,"16,300","16,000","16,200"
2018-05-24,,"16,200","16,000","16,200"
2018-05-25,,"16,200","16,000","16,200"
2018-05-26,,,,
2018-05-27,,,,
2018-05-28,,"16,200","16,190","16,300"
2018-05-29,,"16,300","16,300","16,770"
2018-05-30,,"16,770",,
2018-05-31,,"16,770",,
2018-06-01,,"16,770",,
2018-06-02,,,,
2018-06-03,,,,
2018-06-04,,"16,770","16,760","16,500"
2018-06-05,,"16,500","16,100","16,500"
2018-06-06,,"16,500","16,100","16,480"
2018-06-07,,,,
2018-06-08,,"16,200","16,400","17,130"
2018-06-09,,,,
2018-06-10,,,,
2018-06-11,,"17,130","17,130","17,200"
2018-06-12,,"17,200","17,500","17,630"
2018-06-13,,"17,630","17,760","17,780"
2018-06-14,,"17,780","17,500","17,730"
2018-06-15,,,,
2018-06-16,,,,
2018-06-17,,,,
2018-06-18,,"17,730","17,730","18,260"
2018-06-19,,"18,260","17,720","18,250"
2018-06-20,,"18,250","18,560","18,980"
2018-06-21,,"18,980","18,420","18,770"
2018-06-22,,"18,770",,
2018-06-23,,,,
2018-06-24,,,,
2018-06-25,,"18,770","18,750","18,700"
2018-06-26,,"18,700","18,140","18,590"
2018-06-27,,"18,590","18,590","18,590"
2018-06-28,,"18,590","18,490","19,000"
2018-06-29,,"19,000","19,000","19,150"
2018-06-30,,,,
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,,"19,150","18,800","19,200"
2018-07-04,,"19,200","18,630","19,100"
2018-07-05,,"19,100","18,600","19,000"
2018-07-06,,"19,000","18,980","19,000"
2018-07-07,,,,
2018-07-08,,,,
2018-07-09,,"19,000","18,990","19,000"
2018-07-10,,"19,000","19,000","19,400"
2018-07-11,,"19,400","19,100","19,490"
2018-07-12,,"19,490","19,000","19,590"
2018-07-13,,"19,590",,
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"19,590","19,590","19,720"
2018-07-17,,"19,720","19,700","19,700"
2018-07-18,,"19,700","19,600","19,700"
2018-07-19,,"19,700","19,680","19,680"
2018-07-20,,"19,680","19,680","19,690"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"19,690","19,700","19,650"
2018-07-24,,"19,650","19,650","19,650"
2018-07-25,,,,
2018-07-26,,"19,650","19,600","19,600"
2018-07-27,,"19,600","19,640","19,600"
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"19,600","19,020","19,020"
2018-07-31,,"19,020","19,030","19,020"
2018-08-01,,"19,020","19,200","19,590"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,,,
2018-08-07,,,,
2018-08-08,,,,
2018-08-09,,,,
2018-08-10,,,,
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,,,
2018-08-15,,,,
2018-08-16,,,,
2018-08-17,,,,
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,,,
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,,,
2018-08-24,,,,
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,,,
2018-08-28,,,,
2018-08-29,,,,
2018-08-30,,,,
2018-08-31,,,,
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,,,
2018-09-04,,,,
2018-09-05,,,,
2018-09-06,,,,
2018-09-07,,,,
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,,,
2018-09-13,,,,
2018-09-14,,,,
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,,,
2018-09-18,,,,
2018-09-19,,,,
2018-09-20,,,,
2018-09-21,,,,
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,,,
2018-09-25,,,,
2018-09-26,,,,
2018-09-27,,,,
2018-09-28,,,,
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,,,
2018-10-02,,,,
2018-10-03,,,,
2018-10-04,,,,
2018-10-05,,,,
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,,,
2018-10-09,,,,
2018-10-10,,,,
2018-10-11,,,,
2018-10-12,,,,
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,,,
2018-10-17,,,,
2018-10-18,,,,
2018-10-19,,,,
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,,,
2018-10-23,,,,
2018-10-24,,,,
2018-10-25,,,,
2018-10-26,,,,
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,,,
2018-10-30,,,,
2018-10-31,,,,
2018-11-01,,,,
2018-11-02,,,,
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,,,
2018-11-06,,,,
2018-11-07,,,,
2018-11-08,,,,
2018-11-09,,,,
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,,,
2018-11-13,,,,
2018-11-14,,,,
2018-11-15,,,,
2018-11-16,,,,
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,,,
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,,,
2018-11-23,,,,
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,,,
2018-11-27,,,,
2018-11-28,,,,
2018-11-29,,,,
2018-11-30,,,,
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,,,
2018-12-04,,,,
2018-12-05,,,,
2018-12-06,,,,
2018-12-07,,,,
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,,,
2018-12-11,,,,
2018-12-12,,,,
2018-12-13,,,,
2018-12-14,,,,
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,,,
2018-12-18,,,,
2018-12-19,,,,
2018-12-20,,,,
2018-12-21,,,,
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,,,
2018-12-25,,,,
2018-12-26,,,,
2018-12-27,,,,
2018-12-28,,,,
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,,,
2019-01-01,,,,
2019-01-02,,,,
2019-01-03,,,,
2019-01-04,,,,
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,,,
2019-01-08,,,,
2019-01-09,,,,
2019-01-10,,,,
2019-01-11,,,,
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,,,
2019-01-16,,,,
2019-01-17,,,,
2019-01-18,,,,
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,,,
2019-01-22,,,,
2019-01-23,,,,
2019-01-24,,,,
2019-01-25,,,,
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,,,
2019-01-29,,,,
2019-01-30,,,,
2019-01-31,,,,
2019-02-01,,,,
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,,,
2019-02-05,,,,
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,,,
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,,,
2019-02-14,,,,
2019-02-15,,,,
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,,,
2019-02-19,,,,
2019-02-20,,,,
2019-02-21,,,,
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,,,
2019-02-26,,,,
2019-02-27,,,,
2019-02-28,,,,
2019-03-01,,,,
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,,,
2019-03-05,,,,
2019-03-06,,,,
2019-03-07,,,,
2019-03-08,,,,
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,,,
2019-03-12,,,,
2019-03-13,,,,
2019-03-14,,,,
2019-03-15,,,,
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,,,
2019-03-19,,,,
2019-03-20,,,,
2019-03-21,,,,
2019-03-22,,,,
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,,,
2019-03-26,,,,
2019-03-27,,,,
2019-03-28,,,,
2019-03-29,,,,
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,,,
2019-04-02,,,,
2019-04-03,,,,
2019-04-04,,,,
2019-04-05,,,,
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,,,
2019-04-09,,,,
2019-04-10,,,,
2019-04-11,,,,
2019-04-12,,,,
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,,,
2019-04-16,,,,
2019-04-17,,,,
2019-04-18,,,,
2019-04-19,,,,
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,,,
2019-04-23,,,,
2019-04-24,,,,
2019-04-25,,,,
2019-04-26,,,,
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,,,
2019-04-30,,,,
2019-05-01,,,,
2019-05-02,,,,
2019-05-03,,,,
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,,,
2019-05-07,,,,
2019-05-08,,,,
2019-05-09,,,,
2019-05-10,,,,
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,,,
2019-05-14,,,,
2019-05-15,,,,
2019-05-16,,,,
2019-05-17,,,,
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,,,
2019-05-21,,,,
2019-05-22,,,,
2019-05-23,,,,
2019-05-24,,,,
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,,,
2019-05-28,,,,
2019-05-29,,,,
2019-05-30,,,,
2019-05-31,,,,
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,,,
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,,,
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,,,
2019-06-11,,,,
2019-06-12,,,,
2019-06-13,,,,
2019-06-14,,,,
2019-06-15,,,,
2019-06-16,,,,
2019-06-17,,,,
2019-06-18,,,,
2019-06-19,,,,
2019-06-20,,,,
2019-06-21,,,,
2019-06-22,,,,
2019-06-23,,,,
2019-06-24,,,,
2019-06-25,,,,
2019-06-26,,,,
2019-06-27,,,,
2019-06-28,,,,
2019-06-29,,,,
2019-06-30,,,,
2019-07-01,,,,
2019-07-02,,,,
2019-07-03,,,,
2019-07-04,,,,
2019-07-05,,,,
2019-07-06,,,,
2019-07-07,,,,
2019-07-08,,,,
2019-07-09,,,,
2019-07-10,,,,
2019-07-11,,,,
2019-07-12,,,,
2019-07-13,,,,
2019-07-14,,,,
2019-07-15,,,,
2019-07-16,,,,
2019-07-17,,,,
2019-07-18,,,,
2019-07-19,,,,
2019-07-20,,,,
2019-07-21,,,,
2019-07-22,,,,
2019-07-23,,,,
2019-07-24,,,,
2019-07-25,,,,
2019-07-26,,,,
2019-07-27,,,,
2019-07-28,,,,
2019-07-29,,,,
2019-07-30,,,,
2019-07-31,,,,
2019-08-01,,,,
2019-08-02,,,,
2019-08-03,,,,
2019-08-04,,,,
2019-08-05,,,,
2019-08-06,,,,
2019-08-07,,,,
2019-08-08,,,,
2019-08-09,,,,
2019-08-10,,,,
2019-08-11,,,,
2019-08-12,,,,
2019-08-13,,,,
2019-08-14,,,,
2019-08-15,,,,
2019-08-16,,,,
2019-08-17,,,,
2019-08-18,,,,
2019-08-19,,,,
2019-08-20,,,,
2019-08-21,,,,
2019-08-22,,,,
2019-08-23,,,,
2019-08-24,,,,
2019-08-25,,,,
2019-08-26,,,,
2019-08-27,,,,
2019-08-28,,,,
2019-08-29,,,,
2019-08-30,,,,
2019-08-31,,,,
2019-09-01,,,,
2019-09-02,,,,
2019-09-03,,,,
2019-09-04,,,,
2019-09-05,,,,
2019-09-06,,,,
2019-09-07,,,,
2019-09-08,,,,
2019-09-09,,,,
2019-09-10,,,,
2019-09-11,,,,
2019-09-12,,,,
2019-09-13,,,,
2019-09-14,,,,
2019-09-15,,,,
2019-09-16,,,,
2019-09-17,,,,
2019-09-18,,,,
2019-09-19,,,,
2019-09-20,,,,
2019-09-21,,,,
2019-09-22,,,,
2019-09-23,,,,
2019-09-24,,,,
2019-09-25,,,,
2019-09-26,,,,
2019-09-27,,,,
2019-09-28,,,,
2019-09-29,,,,
2019-09-30,,,,
2019-10-01,,,,
2019-10-02,,,,
2019-10-03,,,,
2019-10-04,,,,
2019-10-05,,,,
2019-10-06,,,,
2019-10-07,,,,
2019-10-08,,,,
2019-10-09,,,,
2019-10-10,,,,
2019-10-11,,,,
2019-10-12,,,,
2019-10-13,,,,
2019-10-14,,,,
2019-10-15,,,,
2019-10-16,,,,
2019-10-17,,,,
2019-10-18,,,,
2019-10-19,,,,
2019-10-20,,,,
2019-10-21,,,,
2019-10-22,,,,
2019-10-23,,,,
2019-10-24,,,,
2019-10-25,,,,
2019-10-26,,,,
2019-10-27,,,,
2019-10-28,,,,
2019-10-29,,,,
2019-10-30,,,,
2019-10-31,,,,
2019-11-01,,,,
2019-11-02,,,,
2019-11-03,,,,
2019-11-04,,,,
2019-11-05,,,,
2019-11-06,,,,
2019-11-07,,,,
2019-11-08,,,,
2019-11-09,,,,
2019-11-10,,,,
2019-11-11,,,,
2019-11-12,,,,
2019-11-13,,,,
2019-11-14,,,,
2019-11-15,,,,
2019-11-16,,,,
2019-11-17,,,,
2019-11-18,,,,
2019-11-19,,,,
2019-11-20,,,,
2019-11-21,,,,
2019-11-22,,,,
2019-11-23,,,,
2019-11-24,,,,
2019-11-25,,,,
2019-11-26,,,,
2019-11-27,,,,
2019-11-28,,,,
2019-11-29,,,,
2019-11-30,,,,
2019-12-01,,,,
2019-12-02,,,,
2019-12-03,,,,
2019-12-04,,,,
2019-12-05,,,,
2019-12-06,,,,
2019-12-07,,,,
2019-12-08,,,,
2019-12-09,,,,
2019-12-10,,,,
2019-12-11,,,,
2019-12-12,,,,
2019-12-13,,,,
2019-12-14,,,,
2019-12-15,,,,
2019-12-16,,,,
2019-12-17,,,,
2019-12-18,,,,
2019-12-19,,,,
2019-12-20,,,,
2019-12-21,,,,
2019-12-22,,,,
2019-12-23,,,,
2019-12-24,,,,
2019-12-25,,,,
2019-12-26,,,,
2019-12-27,,,,
2019-12-28,,,,
2019-12-29,,,,
2019-12-30,,,,
2019-12-31,,,,
2020-01-01,,,,
2020-01-02,,,,
2020-01-03,,,,
2020-01-04,,,,
2020-01-05,,,,
2020-01-06,,,,
2020-01-07,,,,
2020-01-08,,,,
2020-01-09,,,,
2020-01-10,,,,
2020-01-11,,,,
2020-01-12,,,,
2020-01-13,,,,
2020-01-14,,,,
2020-01-15,,,,
2020-01-16,,,,
2020-01-17,,,,
2020-01-18,,,,
2020-01-19,,,,
2020-01-20,,,,
2020-01-21,,,,
2020-01-22,,,,
2020-01-23,,,,
2020-01-24,,,,
2020-01-25,,,,
2020-01-26,,,,
2020-01-27,,,,
2020-01-28,,,,
2020-01-29,,,,
2020-01-30,,,,
2020-01-31,,,,
2020-02-01,,,,
2020-02-02,,,,
2020-02-03,,,,
2020-02-04,,,,
2020-02-05,,,,
2020-02-06,,,,
2020-02-07,,,,
2020-02-08,,,,
2020-02-09,,,,
2020-02-10,,,,
2020-02-11,,,,
2020-02-12,,,,
2020-02-13,,,,
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,,,,
2020-03-09,,,,
2020-03-10,,,,
2020-03-11,,,,
2020-03-12,,,,
2020-03-13,,,,
2020-03-14,,,,
2020-03-15,,,,
2020-03-16,,,,
2020-03-17,,,,
2020-03-18,,,,
2020-03-19,,,,
2020-03-20,,,,
2020-03-21,,,,
2020-03-22,,,,
2020-03-23,,,,
2020-03-24,,,,
2020-03-25,,,,
2020-03-26,,,,
2020-03-27,,,,
2020-03-28,,,,
2020-03-29,,,,
2020-03-30,,,,
2020-03-31,,,,
2020-04-01,,,,
2020-04-02,,,,
2020-04-03,,,,
2020-04-04,,,,
2020-04-05,,,,
2020-04-06,,,,
2020-04-07,,,,
2020-04-08,,,,
2020-04-09,,,,
2020-04-10,,,,
2020-04-11,,,,
2020-04-12,,,,
2020-04-13,,,,
2020-04-14,,,,
2020-04-15,,,,
2020-04-16,,,,
2020-04-17,,,,
2020-04-18,,,,
2020-04-19,,,,
2020-04-20,,,,
2020-04-21,,,,
2020-04-22,,,,
2020-04-23,,,,
2020-04-24,,,,
2020-04-25,,,,
2020-04-26,,,,
2020-04-27,,,,
2020-04-28,,,,
2020-04-29,,,,
2020-04-30,,,,
2020-05-01,,,,
2020-05-02,,,,
2020-05-03,,,,
2020-05-04,,,,
2020-05-05,,,,
2020-05-06,,,,
2020-05-07,,,,
2020-05-08,,,,
2020-05-09,,,,
2020-05-10,,,,
2020-05-11,,,,
2020-05-12,,,,
2020-05-13,,,,
2020-05-14,,,,
2020-05-15,,,,
2020-05-16,,,,
2020-05-17,,,,
2020-05-18,,,,
2020-05-19,,,,
2020-05-20,,,,
2020-05-21,,,,
2020-05-22,,,,
2020-05-23,,,,
2020-05-24,,,,
2020-05-25,,,,
2020-05-26,,,,
2020-05-27,,,,
2020-05-28,,,,
2020-05-29,,,,
2020-05-30,,,,
2020-05-31,,,,
2020-06-01,,,,
2020-06-02,,,,
2020-06-03,,,,
2020-06-04,,,,
2020-06-05,,,,
2020-06-06,,,,
2020-06-07,,,,
2020-06-08,,,,
2020-06-09,,,,
2020-06-10,,,,
2020-06-11,,,,
2020-06-12,,,,
2020-06-13,,,,
2020-06-14,,,,
2020-06-15,,,,
2020-06-16,,,,
2020-06-17,,,,
2020-06-18,,,,
2020-06-19,,,,
2020-06-20,,,,
2020-06-21,,,,
2020-06-22,,,,
2020-06-23,,,,
2020-06-24,,,,
2020-06-25,,,,
2020-06-26,,,,
2020-06-27,,,,
2020-06-28,,,,
2020-06-29,,,,
2020-06-30,,,,
2020-07-01,,,,
2020-07-02,,,,
2020-07-03,,,,
2020-07-04,,,,
2020-07-05,,,,
2020-07-06,,,,
2020-07-07,,,,
2020-07-08,,,,
2020-07-09,,,,
2020-07-10,,,,
2020-07-11,,,,
2020-07-12,,,,
2020-07-13,,,,
2020-07-14,,,,
2020-07-15,,,,
2020-07-16,,,,
2020-07-17,,,,
2020-07-18,,,,
2020-07-19,,,,
2020-07-20,,,,
2020-07-21,,,,
2020-07-22,,,,
2020-07-23,,,,
2020-07-24,,,,
2020-07-25,,,,
2020-07-26,,,,
2020-07-27,,,,
2020-07-28,,,,
2020-07-29,,,,
2020-07-30,,,,
2020-07-31,,,,
2020-08-01,,,,
2020-08-02,,,,
2020-08-03,,,,
2020-08-04,,,,
2020-08-05,,,,
2020-08-06,,,,
2020-08-07,,,,
2020-08-08,,,,
2020-08-09,,,,
2020-08-10,,,,
2020-08-11,,,,
2020-08-12,,,,
2020-08-13,,,,
2020-08-14,,,,
2020-08-15,,,,
2020-08-16,,,,
2020-08-17,,,,
2020-08-18,,,,
2020-08-19,,,,
2020-08-20,,,,
2020-08-21,,,,
2020-08-22,,,,
2020-08-23,,,,
2020-08-24,,,,
2020-08-25,,,,
2020-08-26,,,,
2020-08-27,,,,
2020-08-28,,,,
2020-08-29,,,,
2020-08-30,,,,
2020-08-31,,,,
2020-09-01,,,,
2020-09-02,,,,
2020-09-03,,,,
2020-09-04,,,,
2020-09-05,,,,
2020-09-06,,,,
2020-09-07,,,,
2020-09-08,,,,
2020-09-09,,,,
2020-09-10,,,,
2020-09-11,,,,
2020-09-12,,,,
2020-09-13,,,,
2020-09-14,,,,
2020-09-15,,,,
2020-09-16,,,,
2020-09-17,,,,
2020-09-18,,,,
2020-09-19,,,,
2020-09-20,,,,
2020-09-21,,,,
2020-09-22,,,,
2020-09-23,,,,
2020-09-24,,,,
2020-09-25,,,,
2020-09-26,,,,
2020-09-27,,,,
2020-09-28,,,,
2020-09-29,,,,
2020-09-30,,,,
2020-10-01,,,,
2020-10-02,,,,
2020-10-03,,,,
2020-10-04,,,,
2020-10-05,,,,
2020-10-06,,,,
2020-10-07,,,,
2020-10-08,,,,
2020-10-09,,,,
2020-10-10,,,,
2020-10-11,,,,
2020-10-12,,,,
2020-10-13,,,,
2020-10-14,,,,
2020-10-15,,,,
2020-10-16,,,,
2020-10-17,,,,
2020-10-18,,,,
2020-10-19,,,,
2020-10-20,,,,
2020-10-21,,,,
2020-10-22,,,,
2020-10-23,,,,
2020-10-24,,,,
2020-10-25,,,,
2020-10-26,,,,
2020-10-27,,,,
2020-10-28,,,,
2020-10-29,,,,
2020-10-30,,,,
2020-10-31,,,,
2020-11-01,,,,
2020-11-02,,,,
2020-11-03,,,,
2020-11-04,,,,
2020-11-05,,,,
2020-11-06,,,,
2020-11-07,,,,
2020-11-08,,,,
2020-11-09,,,,
2020-11-10,,,,
2020-11-11,,,,
2020-11-12,,,,
2020-11-13,,,,
2020-11-14,,,,
2020-11-15,,,,
2020-11-16,,,,
2020-11-17,,,,
2020-11-18,,,,
2020-11-19,,,,
2020-11-20,,,,
2020-11-21,,,,
2020-11-22,,,,
2020-11-23,,,,
2020-11-24,,,,
2020-11-25,,,,
2020-11-26,,,,
2020-11-27,,,,
2020-11-28,,,,
2020-11-29,,,,
2020-11-30,,,,
2020-12-01,,,,
2020-12-02,,,,
2020-12-03,,,,
2020-12-04,,,,
2020-12-05,,,,
2020-12-06,,,,
2020-12-07,,,,
2020-12-08,,,,
2020-12-09,,,,
2020-12-10,,,,
2020-12-11,,,,
2020-12-12,,,,
2020-12-13,,,,
2020-12-14,,,,
2020-12-15,,,,
2020-12-16,,,,
2020-12-17,,,,
2020-12-18,,,,
2020-12-19,,,,
2020-12-20,,,,
2020-12-21,,,,
2020-12-22,,,,
2020-12-23,,,,
2020-12-24,,,,
2020-12-25,,,,
2020-12-26,,,,
2020-12-27,,,,
2020-12-28,,,,
2020-12-29,,,,
2020-12-30,,,,
2020-12-31,,,,
