,TUNIS RE,ref,ouverture,cloture
2018-01-01,,,,
2018-01-02,,,,
2018-01-03,,"8,400","8,400","8,250"
2018-01-04,,"8,250","8,340","8,500"
2018-01-05,,"8,500","8,480","8,390"
2018-01-06,,,,
2018-01-07,,,,
2018-01-08,,"8,390","8,250","8,210"
2018-01-09,,"8,210","8,200","8,020"
2018-01-10,,"8,020","8,000","7,980"
2018-01-11,,"7,980","7,950","7,980"
2018-01-12,,,,
2018-01-13,,,,
2018-01-14,,,,
2018-01-15,,"8,050","8,100","8,100"
2018-01-16,,,,
2018-01-17,,,,
2018-01-18,,,,
2018-01-19,,,,
2018-01-20,,,,
2018-01-21,,,,
2018-01-22,,,,
2018-01-23,,,,
2018-01-24,,,,
2018-01-25,,,,
2018-01-26,,"8,460","8,400","8,460"
2018-01-27,,,,
2018-01-28,,,,
2018-01-29,,,,
2018-01-30,,,,
2018-01-31,,,,
2018-02-01,,,,
2018-02-02,,,,
2018-02-03,,,,
2018-02-04,,,,
2018-02-05,,,,
2018-02-06,,,,
2018-02-07,,,,
2018-02-08,,,,
2018-02-09,,,,
2018-02-10,,,,
2018-02-11,,,,
2018-02-12,,,,
2018-02-13,,,,
2018-02-14,,,,
2018-02-15,,,,
2018-02-16,,,,
2018-02-17,,,,
2018-02-18,,,,
2018-02-19,,,,
2018-02-20,,"8,280","8,280","8,280"
2018-02-21,,"8,280","8,280","8,280"
2018-02-22,,,,
2018-02-23,,,,
2018-02-24,,,,
2018-02-25,,,,
2018-02-26,,,,
2018-02-27,,,,
2018-02-28,,,,
2018-03-01,,,,
2018-03-02,,,,
2018-03-03,,,,
2018-03-04,,,,
2018-03-05,,,,
2018-03-06,,,,
2018-03-07,,"8,300","8,300","8,300"
2018-03-08,,"8,300","8,300","8,300"
2018-03-09,,"8,300","8,300","8,300"
2018-03-10,,,,
2018-03-11,,,,
2018-03-12,,"8,300","8,280","8,270"
2018-03-13,,"8,270","8,100","8,270"
2018-03-14,,"8,270","8,270","8,270"
2018-03-15,,"8,270","8,250","8,250"
2018-03-16,,"8,250","8,250","8,250"
2018-03-17,,,,
2018-03-18,,,,
2018-03-19,,"8,250","8,250","8,250"
2018-03-20,,,,
2018-03-21,,"8,250",,
2018-03-22,,"8,250","8,110","8,220"
2018-03-23,,"8,220","8,220","8,220"
2018-03-24,,,,
2018-03-25,,,,
2018-03-26,,"8,220","8,030","8,200"
2018-03-27,,"8,200","8,190","8,230"
2018-03-28,,"8,230","8,220","8,250"
2018-03-29,,"8,250","8,240","8,220"
2018-03-30,,"8,220","8,220","8,220"
2018-03-31,,,,
2018-04-01,,,,
2018-04-02,,"8,220","8,210","8,210"
2018-04-03,,"8,210","8,200","8,200"
2018-04-04,,"8,200","8,110","8,200"
2018-04-05,,"8,200","8,190","8,180"
2018-04-06,,"8,180","8,100","8,200"
2018-04-07,,,,
2018-04-08,,,,
2018-04-09,,,,
2018-04-10,,"8,200","8,100","8,190"
2018-04-11,,"8,190","8,190","8,180"
2018-04-12,,"8,180","8,020","8,180"
2018-04-13,,"8,180","8,200","8,190"
2018-04-14,,,,
2018-04-15,,,,
2018-04-16,,"8,190","8,190","8,200"
2018-04-17,,"8,200",,
2018-04-18,,"8,200","8,190","8,180"
2018-04-19,,"8,180","8,190","8,200"
2018-04-20,,"8,200","8,200","8,210"
2018-04-21,,,,
2018-04-22,,,,
2018-04-23,,"8,210","8,210","8,200"
2018-04-24,,"8,200","8,250","8,240"
2018-04-25,,"8,240","8,250","8,230"
2018-04-26,,"8,230","8,250","8,250"
2018-04-27,,"8,250","8,250","8,240"
2018-04-28,,,,
2018-04-29,,,,
2018-04-30,,"8,240","8,010","8,210"
2018-05-01,,,,
2018-05-02,,"8,210","8,240","8,200"
2018-05-03,,"8,200",,
2018-05-04,,"8,200","8,050","8,200"
2018-05-05,,,,
2018-05-06,,,,
2018-05-07,,"8,200","8,200","8,200"
2018-05-08,,"8,200","8,050","8,150"
2018-05-09,,"8,150","8,190","8,200"
2018-05-10,,"8,200","8,200","8,200"
2018-05-11,,"8,200","8,200","8,200"
2018-05-12,,,,
2018-05-13,,,,
2018-05-14,,"8,200","8,050","8,180"
2018-05-15,,"8,180","8,060","8,150"
2018-05-16,,"8,150","8,150","8,150"
2018-05-17,,"8,150","8,210","8,210"
2018-05-18,,"8,210","8,150","8,190"
2018-05-19,,,,
2018-05-20,,,,
2018-05-21,,"8,190","8,200","8,100"
2018-05-22,,"8,100","8,100","8,160"
2018-05-23,,"8,160","8,100","8,240"
2018-05-24,,"8,240","8,100","8,170"
2018-05-25,,"8,170","8,090","8,200"
2018-05-26,,,,
2018-05-27,,,,
2018-05-28,,"8,200","8,200","8,200"
2018-05-29,,"8,200","8,090","8,200"
2018-05-30,,"8,200","8,100","8,200"
2018-05-31,,"8,200",,
2018-06-01,,"8,200","8,200","8,190"
2018-06-02,,,,
2018-06-03,,,,
2018-06-04,,"8,190","8,120","8,120"
2018-06-05,,"8,120","8,000","8,180"
2018-06-06,,"8,180","8,100","8,170"
2018-06-07,,,,
2018-06-08,,"8,090","8,090","8,150"
2018-06-09,,,,
2018-06-10,,,,
2018-06-11,,"8,150","8,110","8,100"
2018-06-12,,"8,100","8,070","8,180"
2018-06-13,,"8,180","8,110","8,160"
2018-06-14,,"7,660","7,880","7,850"
2018-06-15,,,,
2018-06-16,,,,
2018-06-17,,,,
2018-06-18,,"7,850","7,700","7,800"
2018-06-19,,"7,800","7,770","7,750"
2018-06-20,,"7,750","7,750","7,750"
2018-06-21,,"7,750","7,740","7,750"
2018-06-22,,"7,750","7,760","7,800"
2018-06-23,,,,
2018-06-24,,,,
2018-06-25,,"7,800","7,750","7,650"
2018-06-26,,"7,650","7,790","7,790"
2018-06-27,,"7,790","7,750","7,610"
2018-06-28,,"7,610","7,650","7,590"
2018-06-29,,"7,590","7,590","7,690"
2018-06-30,,,,
2018-07-01,,,,
2018-07-02,,,,
2018-07-03,,"7,690","7,510","7,700"
2018-07-04,,"7,700","7,850","7,940"
2018-07-05,,"7,940","7,780","7,920"
2018-07-06,,"7,920","7,900","7,790"
2018-07-07,,,,
2018-07-08,,,,
2018-07-09,,"7,790","7,790","7,900"
2018-07-10,,"7,900","7,880","7,880"
2018-07-11,,"7,880","7,700","7,880"
2018-07-12,,"7,880","7,830","7,840"
2018-07-13,,"7,840","7,880","7,860"
2018-07-14,,,,
2018-07-15,,,,
2018-07-16,,"7,860","7,800","7,860"
2018-07-17,,"7,860","7,700","7,850"
2018-07-18,,"7,850","7,800","7,800"
2018-07-19,,"7,800","7,850","7,840"
2018-07-20,,"7,840","7,840","7,910"
2018-07-21,,,,
2018-07-22,,,,
2018-07-23,,"7,910","7,870","7,900"
2018-07-24,,"7,900","7,890","7,990"
2018-07-25,,,,
2018-07-26,,"7,990","7,990","7,990"
2018-07-27,,"7,990",,
2018-07-28,,,,
2018-07-29,,,,
2018-07-30,,"7,990","7,980","8,000"
2018-07-31,,"8,000","7,990","7,990"
2018-08-01,,"7,990","7,760","7,900"
2018-08-02,,,,
2018-08-03,,,,
2018-08-04,,,,
2018-08-05,,,,
2018-08-06,,"7,840","7,900","7,850"
2018-08-07,,"7,850","7,650","7,890"
2018-08-08,,"7,890","7,660","7,880"
2018-08-09,,"7,880","7,670","7,900"
2018-08-10,,"7,900","7,990","8,000"
2018-08-11,,,,
2018-08-12,,,,
2018-08-13,,,,
2018-08-14,,"8,000","8,000","7,940"
2018-08-15,,"7,940","7,940","7,940"
2018-08-16,,"7,940","7,980","7,980"
2018-08-17,,"7,980","7,980","7,980"
2018-08-18,,,,
2018-08-19,,,,
2018-08-20,,"7,980",,
2018-08-21,,,,
2018-08-22,,,,
2018-08-23,,"7,980","7,980","7,990"
2018-08-24,,"7,990",,
2018-08-25,,,,
2018-08-26,,,,
2018-08-27,,"7,990",,
2018-08-28,,"7,990","7,800","7,950"
2018-08-29,,"7,950","7,800","7,950"
2018-08-30,,"7,950","7,950","8,180"
2018-08-31,,"8,180","8,180","8,180"
2018-09-01,,,,
2018-09-02,,,,
2018-09-03,,"8,180","7,940","7,940"
2018-09-04,,"7,940","8,040","7,710"
2018-09-05,,,,
2018-09-06,,"7,650","7,840","7,930"
2018-09-07,,"7,930","7,930","7,730"
2018-09-08,,,,
2018-09-09,,,,
2018-09-10,,,,
2018-09-11,,,,
2018-09-12,,"7,740","7,920","7,890"
2018-09-13,,"7,890","7,920","7,880"
2018-09-14,,"7,880","7,930","7,930"
2018-09-15,,,,
2018-09-16,,,,
2018-09-17,,"7,930","7,960","7,960"
2018-09-18,,"7,960","7,850","7,880"
2018-09-19,,"7,880","7,700","7,880"
2018-09-20,,"7,880","7,880","7,880"
2018-09-21,,"7,880","7,870","7,800"
2018-09-22,,,,
2018-09-23,,,,
2018-09-24,,"7,800","7,650","7,790"
2018-09-25,,"7,790","7,570","7,780"
2018-09-26,,"7,780","7,600","7,600"
2018-09-27,,"7,600","7,600","7,700"
2018-09-28,,"7,700","7,750","7,750"
2018-09-29,,,,
2018-09-30,,,,
2018-10-01,,"7,750",,
2018-10-02,,"7,750","7,610","7,620"
2018-10-03,,"7,620","7,620","7,600"
2018-10-04,,"7,600","7,740","7,600"
2018-10-05,,"7,600","7,500","7,500"
2018-10-06,,,,
2018-10-07,,,,
2018-10-08,,"7,500","7,500","7,500"
2018-10-09,,"7,500","7,490","7,460"
2018-10-10,,"7,460","7,500","7,500"
2018-10-11,,,,
2018-10-12,,"7,320","7,400","7,400"
2018-10-13,,,,
2018-10-14,,,,
2018-10-15,,,,
2018-10-16,,"7,400","7,500","7,500"
2018-10-17,,"7,500","7,500","7,500"
2018-10-18,,"7,500","7,330","7,470"
2018-10-19,,"7,470","7,470","7,470"
2018-10-20,,,,
2018-10-21,,,,
2018-10-22,,"7,470","7,500","7,500"
2018-10-23,,"7,500","7,600","7,600"
2018-10-24,,"7,600","7,400","7,600"
2018-10-25,,"7,600",,
2018-10-26,,"7,600","7,410","7,600"
2018-10-27,,,,
2018-10-28,,,,
2018-10-29,,"7,600","7,500","7,490"
2018-10-30,,"7,490","7,490","7,470"
2018-10-31,,"7,470","7,470","7,460"
2018-11-01,,"7,460",,
2018-11-02,,"7,460","7,500","7,400"
2018-11-03,,,,
2018-11-04,,,,
2018-11-05,,"7,400","7,250","7,200"
2018-11-06,,"7,200","7,200","7,200"
2018-11-07,,"7,200","7,350","7,200"
2018-11-08,,"7,200","7,380","7,200"
2018-11-09,,"7,200","7,400","7,390"
2018-11-10,,,,
2018-11-11,,,,
2018-11-12,,"7,390","7,390","7,300"
2018-11-13,,"7,300","7,390","7,200"
2018-11-14,,"7,200","7,350","7,350"
2018-11-15,,"7,350","7,210","7,300"
2018-11-16,,"7,300","7,110","7,240"
2018-11-17,,,,
2018-11-18,,,,
2018-11-19,,"7,240","7,100","7,030"
2018-11-20,,,,
2018-11-21,,,,
2018-11-22,,"7,190","7,050","7,170"
2018-11-23,,"7,170","7,290","7,080"
2018-11-24,,,,
2018-11-25,,,,
2018-11-26,,"7,080","7,200","7,000"
2018-11-27,,"7,000","7,000","7,000"
2018-11-28,,"7,000","7,100","7,200"
2018-11-29,,"7,200","7,190","7,190"
2018-11-30,,"7,190","7,010","7,170"
2018-12-01,,,,
2018-12-02,,,,
2018-12-03,,"7,170","7,180","7,200"
2018-12-04,,"7,200","7,200","7,400"
2018-12-05,,"7,410","7,510","7,680"
2018-12-06,,"7,680","7,600","7,600"
2018-12-07,,"7,600","7,740","7,690"
2018-12-08,,,,
2018-12-09,,,,
2018-12-10,,"7,690","7,400","7,660"
2018-12-11,,"7,660","7,640","7,740"
2018-12-12,,"7,740","7,750","7,820"
2018-12-13,,"7,820","7,890","8,070"
2018-12-14,,"8,070","8,090","8,100"
2018-12-15,,,,
2018-12-16,,,,
2018-12-17,,"8,100","8,090","8,090"
2018-12-18,,,,
2018-12-19,,"8,100","8,100","8,090"
2018-12-20,,"8,090","8,100","8,090"
2018-12-21,,"8,090","8,000","8,000"
2018-12-22,,,,
2018-12-23,,,,
2018-12-24,,"8,000","8,000","7,950"
2018-12-25,,"7,950","8,000","8,000"
2018-12-26,,"8,000","7,950","8,000"
2018-12-27,,"8,000","7,980","8,000"
2018-12-28,,"8,000","8,000","8,000"
2018-12-29,,,,
2018-12-30,,,,
2018-12-31,,"8,000","8,000","8,000"
2019-01-01,,,,
2019-01-02,,"8,000","8,000","8,000"
2019-01-03,,"8,000",,
2019-01-04,,"8,000","7,790","8,000"
2019-01-05,,,,
2019-01-06,,,,
2019-01-07,,"8,000",,
2019-01-08,,"8,000","7,950","7,950"
2019-01-09,,,,
2019-01-10,,"7,990",,
2019-01-11,,"7,990","7,950","7,950"
2019-01-12,,,,
2019-01-13,,,,
2019-01-14,,,,
2019-01-15,,"7,950","7,950","7,990"
2019-01-16,,"7,990","7,950","7,800"
2019-01-17,,"7,800","7,740","7,600"
2019-01-18,,"7,600","7,600","7,800"
2019-01-19,,,,
2019-01-20,,,,
2019-01-21,,"7,800","7,600","7,570"
2019-01-22,,"7,570","7,600","7,350"
2019-01-23,,"7,350","7,390","7,200"
2019-01-24,,"7,200","7,410","7,200"
2019-01-25,,"7,200","7,140","7,100"
2019-01-26,,,,
2019-01-27,,,,
2019-01-28,,"7,100","7,080","7,000"
2019-01-29,,"7,000","7,000","7,200"
2019-01-30,,"7,200","7,000","7,400"
2019-01-31,,"7,410","7,400","7,400"
2019-02-01,,"7,400","7,500","7,290"
2019-02-02,,,,
2019-02-03,,,,
2019-02-04,,"7,290","7,280","7,290"
2019-02-05,,"7,290","7,290","7,290"
2019-02-06,,,,
2019-02-07,,,,
2019-02-08,,"7,100","7,200","7,200"
2019-02-09,,,,
2019-02-10,,,,
2019-02-11,,,,
2019-02-12,,,,
2019-02-13,,"7,430","7,430","7,290"
2019-02-14,,"7,290","7,430","7,420"
2019-02-15,,"7,420",,
2019-02-16,,,,
2019-02-17,,,,
2019-02-18,,"7,420","7,200","7,300"
2019-02-19,,"7,300","7,100","7,300"
2019-02-20,,"7,300","7,300","7,400"
2019-02-21,,"7,400","7,400","7,300"
2019-02-22,,,,
2019-02-23,,,,
2019-02-24,,,,
2019-02-25,,"7,300","7,400","7,480"
2019-02-26,,"7,480","7,480","7,480"
2019-02-27,,"7,480","7,360","7,690"
2019-02-28,,"7,690",,
2019-03-01,,"7,690","7,770","7,690"
2019-03-02,,,,
2019-03-03,,,,
2019-03-04,,"7,690",,
2019-03-05,,"7,690",,
2019-03-06,,"7,690",,
2019-03-07,,"7,690","7,350","7,670"
2019-03-08,,"7,670",,
2019-03-09,,,,
2019-03-10,,,,
2019-03-11,,"7,670",,
2019-03-12,,"7,670","7,600","7,600"
2019-03-13,,"7,600","7,300","7,500"
2019-03-14,,"7,500","7,400","7,500"
2019-03-15,,"7,500",,
2019-03-16,,,,
2019-03-17,,,,
2019-03-18,,"7,500","7,500","7,500"
2019-03-19,,"7,500","7,300","7,500"
2019-03-20,,,,
2019-03-21,,"7,500","7,300","7,400"
2019-03-22,,"7,400","7,490","7,500"
2019-03-23,,,,
2019-03-24,,,,
2019-03-25,,"7,500","7,300","7,500"
2019-03-26,,"7,500","7,320","7,320"
2019-03-27,,"7,320","7,500","7,500"
2019-03-28,,,,
2019-03-29,,"7,500",,
2019-03-30,,,,
2019-03-31,,,,
2019-04-01,,"7,500","7,500","7,500"
2019-04-02,,"7,500",,
2019-04-03,,"7,500",,
2019-04-04,,"7,500","7,500","7,500"
2019-04-05,,"7,500","7,310","7,500"
2019-04-06,,,,
2019-04-07,,,,
2019-04-08,,"7,500","7,310","7,490"
2019-04-09,,,,
2019-04-10,,"7,490",,
2019-04-11,,"7,490",,
2019-04-12,,"7,490",,
2019-04-13,,,,
2019-04-14,,,,
2019-04-15,,"7,490","7,650","7,310"
2019-04-16,,"7,310","7,300","7,490"
2019-04-17,,"7,490","7,300","7,500"
2019-04-18,,"7,500","7,300","7,500"
2019-04-19,,"7,500",,
2019-04-20,,,,
2019-04-21,,,,
2019-04-22,,"7,500","7,650","7,650"
2019-04-23,,"7,650",,
2019-04-24,,"7,650",,
2019-04-25,,"7,650","7,310","7,630"
2019-04-26,,"7,630","7,630","7,610"
2019-04-27,,,,
2019-04-28,,,,
2019-04-29,,"7,610","7,600","7,650"
2019-04-30,,"7,650","7,650","7,640"
2019-05-01,,,,
2019-05-02,,"7,640","7,640","7,650"
2019-05-03,,"7,650","7,650","7,650"
2019-05-04,,,,
2019-05-05,,,,
2019-05-06,,"7,650","7,700","7,700"
2019-05-07,,"7,700",,
2019-05-08,,"7,700",,
2019-05-09,,"7,700","7,650","7,650"
2019-05-10,,"7,650","7,650","7,650"
2019-05-11,,,,
2019-05-12,,,,
2019-05-13,,"7,650","7,510","7,640"
2019-05-14,,"7,640","7,510","7,640"
2019-05-15,,"7,640","7,640","7,630"
2019-05-16,,"7,630","7,640","7,640"
2019-05-17,,"7,640","7,640","7,630"
2019-05-18,,,,
2019-05-19,,,,
2019-05-20,,"7,630","7,640","7,630"
2019-05-21,,"7,630","7,630","7,630"
2019-05-22,,"7,630","7,640","7,760"
2019-05-23,,"7,760","7,900","7,980"
2019-05-24,,"7,980","7,980","7,970"
2019-05-25,,,,
2019-05-26,,,,
2019-05-27,,"7,970","7,850","7,970"
2019-05-28,,"7,970","7,970","7,990"
2019-05-29,,"7,990","8,000","7,990"
2019-05-30,,"7,990","7,980","8,000"
2019-05-31,,"7,450","7,450","7,570"
2019-06-01,,,,
2019-06-02,,,,
2019-06-03,,"7,570","7,510","7,500"
2019-06-04,,,,
2019-06-05,,,,
2019-06-06,,,,
2019-06-07,,"7,500","7,500","7,500"
2019-06-08,,,,
2019-06-09,,,,
2019-06-10,,"7,500","7,540","7,540"
2019-06-11,,,,
